,start_time,end_time,data_source,regressor_name,num_samples,num_skipped,reaction_count_mean,reaction_count_stdev,feature_generator,num_features,error
0,Thu May 18 17:38:58 2017,Thu May 18 17:51:48 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_lemmatized_bow_250,250,0.11255989442613283
0,Thu May 18 17:39:01 2017,Thu May 18 17:43:47 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_stemmed_bow_250,250,0.1117500936486326
0,Thu May 18 17:39:00 2017,Thu May 18 17:51:23 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_lemmatized_bow_250,250,0.10763319066548953
0,Thu May 18 17:38:58 2017,Thu May 18 17:40:44 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_bow_1000,1000,0.11369757610232152
0,Thu May 18 17:39:01 2017,Thu May 18 17:44:03 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_stemmed_bow_500,500,0.11120153807509096
0,Thu May 18 17:39:01 2017,Thu May 18 17:53:28 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_lemmatized_bow_1000,1000,0.11372099889898002
0,Thu May 18 17:38:58 2017,Thu May 18 17:44:48 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_stemmed_bow_1000,1000,0.11291561024325618
0,Thu May 18 17:38:58 2017,Thu May 18 17:53:06 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_lemmatized_bow_1000,1000,0.1132120528716709
0,Thu May 18 17:38:59 2017,Thu May 18 17:39:33 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bow_100,100,0.10781642367876204
0,Thu May 18 17:39:00 2017,Thu May 18 17:40:09 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bow_250,250,0.10785239093630213
0,Thu May 18 17:39:00 2017,Thu May 18 17:43:37 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_stemmed_bow_250,250,0.10705656618456563
0,Thu May 18 17:39:01 2017,Thu May 18 17:52:10 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_lemmatized_bow_100,100,0.10792987515308014
0,Thu May 18 17:39:01 2017,Thu May 18 17:51:46 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_lemmatized_bow_500,500,0.10767888566803263
0,Thu May 18 17:39:01 2017,Thu May 18 17:44:13 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_stemmed_bow_500,500,0.10832660129974056
0,Thu May 18 17:39:00 2017,Thu May 18 17:43:44 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bow_1000,1000,0.11181511317585152
0,Thu May 18 17:38:58 2017,Thu May 18 17:39:51 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_bow_100,100,0.11423566112495262
0,Thu May 18 17:38:58 2017,Thu May 18 17:43:56 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_stemmed_bow_100,100,0.11343703174066512
0,Thu May 18 17:38:58 2017,Thu May 18 17:40:00 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_bow_250,250,0.11112965611602167
0,Thu May 18 17:38:58 2017,Thu May 18 17:40:12 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_bow_500,500,0.11172365269254808
0,Thu May 18 17:38:58 2017,Thu May 18 17:52:16 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_lemmatized_bow_500,500,0.1105500894386761
0,Thu May 18 17:39:01 2017,Thu May 18 17:43:25 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_stemmed_bow_100,100,0.10828246086999536
0,Thu May 18 17:39:01 2017,Thu May 18 17:45:44 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_stemmed_bow_1000,1000,0.1109634822384492
0,Thu May 18 17:38:58 2017,Thu May 18 17:51:52 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bigram_lemmatized_bow_100,100,0.112674408340702
0,Thu May 18 17:38:59 2017,Thu May 18 17:40:48 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_bow_500,500,0.10913694653458957
0,Tue May 16 22:00:44 2017,Tue May 16 22:13:04 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bigram_lemmatized_bow_250,250,0.1017538022962888
0,Tue May 16 22:00:44 2017,Tue May 16 22:05:34 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bigram_stemmed_bow_250,250,0.10254786797582374
0,Tue May 16 22:00:47 2017,Tue May 16 22:14:13 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_lemmatized_bow_250,250,0.09997190276274898
0,Tue May 16 22:00:49 2017,Tue May 16 22:02:32 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bigram_bow_1000,1000,0.10244238086094362
0,Tue May 16 22:00:44 2017,Tue May 16 22:05:55 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bigram_stemmed_bow_500,500,0.10171561121947922
0,Tue May 16 22:00:50 2017,Tue May 16 22:08:42 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bigram_stemmed_bow_1000,1000,0.101508445192957
0,Tue May 16 22:00:47 2017,Tue May 16 22:01:42 2017,foxnews+nytimes+theguardian,Baseline,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bigram_bow_100,100,0.1182658707235916
0,Tue May 16 22:00:44 2017,Tue May 16 22:15:42 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bigram_lemmatized_bow_1000,1000,0.10115686357499924
0,Tue May 16 22:00:44 2017,Tue May 16 22:01:19 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bow_100,100,0.1015857901857938
0,Tue May 16 22:00:44 2017,Tue May 16 22:01:46 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bow_250,250,0.09962597850094104
0,Tue May 16 22:01:24 2017,Tue May 16 22:06:01 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_stemmed_bow_250,250,0.10037115074115134
0,Tue May 16 22:00:45 2017,Tue May 16 22:13:52 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_lemmatized_bow_100,100,0.1015500022763601
0,Tue May 16 22:00:55 2017,Tue May 16 22:14:45 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_lemmatized_bow_500,500,0.09871335702853168
0,Tue May 16 21:31:56 2017,Tue May 16 21:37:08 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_stemmed_bow_500,500,0.09910456332744724
0,Tue May 16 22:00:44 2017,Tue May 16 22:04:38 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bow_1000,1000,0.0978783806015496
0,Tue May 16 22:00:47 2017,Tue May 16 22:01:39 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bigram_bow_100,100,0.105846231939887
0,Tue May 16 22:00:47 2017,Tue May 16 22:05:47 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bigram_stemmed_bow_100,100,0.1051536894975608
0,Tue May 16 22:00:51 2017,Tue May 16 22:01:50 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bigram_bow_250,250,0.10384704272073936
0,Tue May 16 22:00:44 2017,Tue May 16 22:01:59 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bigram_bow_500,500,0.10250126405689597
0,Tue May 16 22:00:47 2017,Tue May 16 22:18:14 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bigram_lemmatized_bow_500,500,0.10116246287265668
0,Tue May 16 22:00:52 2017,Tue May 16 22:05:19 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_stemmed_bow_100,100,0.10213243476135947
0,Tue May 16 22:00:44 2017,Tue May 16 22:07:29 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_stemmed_bow_1000,1000,0.09852864471540383
0,Tue May 16 22:00:44 2017,Tue May 16 22:14:06 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bigram_lemmatized_bow_100,100,0.10416887304287817
0,Tue May 16 22:00:44 2017,Tue May 16 22:02:29 2017,foxnews+nytimes+theguardian,Ridge,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bow_500,500,0.09837649406401416
0,Wed May 24 18:21:00 2017,Wed May 24 18:31:13 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bigram_lemmatized_bow_500,500,0.12088498629153095
0,Wed May 24 18:20:57 2017,Wed May 24 18:23:19 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_stemmed_bow_250,250,0.11033426319381942
0,Wed May 24 18:20:57 2017,Wed May 24 18:22:55 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_stemmed_bow_100,100,0.12065056857370984
0,Wed May 24 18:20:57 2017,Wed May 24 18:22:04 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bow_250,250,0.1197339732367721
0,Wed May 24 18:20:57 2017,Wed May 24 18:34:46 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_lemmatized_bow_1000,1000,0.11905864020910766
0,Wed May 24 18:21:00 2017,Wed May 24 18:22:57 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_stemmed_bow_100,100,0.1133600449892375
1,Wed May 24 18:21:00 2017,Wed May 24 18:26:02 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_1000,1000,0.10611737947628644
0,Wed May 24 18:20:57 2017,Wed May 24 18:34:24 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_lemmatized_bow_500,500,0.10807131364208702
0,Wed May 24 18:20:57 2017,Wed May 24 18:31:35 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bigram_lemmatized_bow_1000,1000,0.12073933633200208
0,Wed May 24 18:20:57 2017,Wed May 24 18:21:31 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bigram_bow_250,250,0.11916619708688245
0,Wed May 24 18:21:00 2017,Wed May 24 18:22:00 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_250,250,0.11000785861882023
0,Wed May 24 18:20:57 2017,Wed May 24 18:22:57 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bigram_stemmed_bow_100,100,0.12369028910065477
0,Wed May 24 18:21:00 2017,Wed May 24 18:30:49 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bigram_lemmatized_bow_250,250,0.12201300664727635
0,Wed May 24 18:20:57 2017,Wed May 24 18:25:59 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bow_1000,1000,0.12171909276457316
0,Wed May 24 18:20:58 2017,Wed May 24 18:26:18 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_stemmed_bow_1000,1000,0.10613401532119793
0,Wed May 24 18:20:57 2017,Wed May 24 18:21:29 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bow_100,100,0.12104544663887655
0,Wed May 24 18:21:00 2017,Wed May 24 18:23:11 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bigram_stemmed_bow_500,500,0.12079182941562885
0,Wed May 24 18:20:57 2017,Wed May 24 18:32:12 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_lemmatized_bow_500,500,0.11743974057758134
0,Wed May 24 18:20:58 2017,Wed May 24 18:31:17 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bigram_lemmatized_bow_100,100,0.12364058063146526
0,Wed May 24 18:20:57 2017,Wed May 24 18:30:59 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bigram_lemmatized_bow_100,100,0.12080740240412075
0,Wed May 24 18:21:00 2017,Wed May 24 18:23:03 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bigram_stemmed_bow_250,250,0.12164634768172986
0,Wed May 24 18:20:58 2017,Wed May 24 18:21:29 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bigram_bow_100,100,0.12426903278626768
0,Wed May 24 18:20:57 2017,Wed May 24 18:31:04 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bigram_lemmatized_bow_250,250,0.1182706685149372
0,Wed May 24 18:21:01 2017,Wed May 24 18:34:28 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_lemmatized_bow_1000,1000,0.10623915979565716
0,Wed May 24 18:20:57 2017,Wed May 24 18:24:14 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_stemmed_bow_500,500,0.10824361785995563
0,Wed May 24 18:20:57 2017,Wed May 24 18:23:07 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bigram_stemmed_bow_500,500,0.11592394112462327
0,Wed May 24 18:21:00 2017,Wed May 24 18:21:40 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bigram_bow_500,500,0.11745874003138715
0,Wed May 24 18:20:57 2017,Wed May 24 18:21:27 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bigram_bow_100,100,0.12128956296962967
0,Wed May 24 18:21:00 2017,Wed May 24 18:31:18 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_lemmatized_bow_100,100,0.12027700392516692
0,Wed May 24 18:20:57 2017,Wed May 24 18:21:58 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bigram_bow_1000,1000,0.12108404883467885
0,Wed May 24 18:20:57 2017,Wed May 24 18:23:13 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_stemmed_bow_250,250,0.11820785541642312
0,Wed May 24 18:20:57 2017,Wed May 24 18:22:57 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bow_500,500,0.12059752452864644
0,Wed May 24 18:20:57 2017,Wed May 24 18:23:00 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bigram_stemmed_bow_250,250,0.11790352159859167
0,Wed May 24 18:20:57 2017,Wed May 24 18:26:16 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_stemmed_bow_1000,1000,0.11834885630956912
0,Wed May 24 18:20:58 2017,Wed May 24 18:21:32 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bigram_bow_250,250,0.12246983635684965
0,Wed May 24 18:20:58 2017,Wed May 24 18:33:23 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bigram_lemmatized_bow_1000,1000,0.11496250067531576
0,Wed May 24 18:21:00 2017,Wed May 24 18:21:32 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_100,100,0.11309767183528155
0,Wed May 24 18:21:00 2017,Wed May 24 18:23:00 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bigram_stemmed_bow_100,100,0.12043629480124855
0,Wed May 24 18:20:57 2017,Wed May 24 18:30:54 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_lemmatized_bow_100,100,0.11269614775402452
0,Wed May 24 18:21:00 2017,Wed May 24 18:23:02 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_500,500,0.10791761753188384
0,Wed May 24 18:20:58 2017,Wed May 24 18:32:58 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_lemmatized_bow_250,250,0.10991449718652244
0,Wed May 24 18:20:58 2017,Wed May 24 18:22:01 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bigram_bow_1000,1000,0.11677706249776805
0,Wed May 24 18:21:00 2017,Wed May 24 18:23:35 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bigram_stemmed_bow_1000,1000,0.1147450514835209
0,Wed May 24 18:20:57 2017,Wed May 24 18:21:40 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bigram_bow_500,500,0.12141929697943787
0,Wed May 24 18:20:58 2017,Wed May 24 18:24:05 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_stemmed_bow_500,500,0.11868618240516515
0,Wed May 24 18:20:57 2017,Wed May 24 18:30:42 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bigram_lemmatized_bow_500,500,0.1163021840296938
0,Wed May 24 18:20:57 2017,Wed May 24 18:31:47 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_lemmatized_bow_250,250,0.11878654256503444
0,Wed May 24 18:20:57 2017,Wed May 24 18:23:31 2017,bild+spiegelonline+ihre.sz,Ridge,19921,1656,941.8332947119618,2648.9823406212618,text_bigram_stemmed_bow_1000,1000,0.12045894208533915
0,Wed May 24 19:00:50 2017,Wed May 24 19:03:55 2017,bild+spiegelonline+ihre.sz,Baseline,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_stemmed_bow_500,500,0.13424741123542924
